strategy_name,variant,share_size,windows_tested,windows_traded,skipped_windows,trade_rate_pct,total_orders_placed,total_orders_filled,fill_rate_pct,total_up_shares,total_down_shares,avg_up_shares_per_traded_window,avg_down_shares_per_traded_window,avg_imbalance_shares,max_imbalance_shares,avg_cost_per_window,avg_cost_per_traded_window,avg_up_entry,avg_down_entry,avg_pair_sum_when_balanced,balanced_windows,balanced_rate_pct,ideal_basket_windows_avg_sum_le_095,good_basket_windows_avg_sum_le_097,gross_total_pnl,gross_roi_pct,gross_avg_pnl_per_window,gross_avg_pnl_per_traded_window,net_total_pnl_after_fee_buffer,net_roi_pct,net_avg_pnl_per_window,net_avg_pnl_per_traded_window,win_windows,loss_windows,win_rate_pct,profit_factor,max_drawdown,best_window_pnl,worst_window_pnl,avg_orders_per_window,avg_hold_time_seconds,avg_entry_time_seconds,late_fills_count,notes
Momentum-Discount Hedge,base,3,2671,1685,986,63.08498689629352,31423,29766,94.72679247684817,62403,26895,37.034421364985164,15.961424332344214,27.303257207038563,66,11.344694870834893,17.98319287833828,0.35385773968282036,0.4184799767723839,0.7962685107009484,1043,39.04904530138525,1017,1039,-2998.6799999999985,-9.896084969546239,-1.1226806439535748,-1.7796320474777438,-4606.043999999998,-15.200622539740365,-1.7244642456008978,-2.7335572700296726,520,1165,19.468363908648445,0.7272729533499102,-4720.883999999993,45.012,-21.167999999999996,11.76450767502808,258.4967359050445,41.50326409495549,688,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Momentum-Discount Hedge,base,5,2671,1685,986,63.08498689629352,18224,16793,92.14771729587358,61875,22090,36.72106824925816,13.109792284866469,24.85398727068514,65,11.32809809060277,17.956884272997033,0.367514584515498,0.4369572265599456,0.8355683394091289,950,35.5672032946462,920,945,-2247.3500000000004,-7.427451511781436,-0.8413889928865594,-1.333738872403561,-3758.72,-12.422502301093784,-1.40723324597529,-2.230694362017804,592,1093,22.163983526769,0.7538590494152161,-3905.5900000000024,44.33,-21.17,6.822912766754024,258.4967359050445,41.50326409495549,339,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Panic Wick Catcher,base,1,2671,2001,670,74.91576188693374,120099,112841,93.95665242841322,56347,56494,28.159420289855074,28.23288355822089,35.48670909771621,77,12.00224260576563,16.020984507746128,0.3463392163497975,0.34645697233101996,0.7273742758791318,1397,52.302508423811304,1396,1396,-7069.99,-22.053753214097327,-2.6469449644327967,-3.5332283858070963,-9101.128,-28.389577762049335,-3.4073859977536505,-4.548289855072464,523,1478,19.580681392736803,0.5554289852121768,-9173.006000000008,53.988,-21.317999999999998,44.96405840509173,266.1079460269865,33.892053973013496,6937,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Panic Wick Catcher,base,2,2671,2001,670,74.91576188693374,64953,59072,90.94576078087232,59222,58922,29.596201899050474,29.446276861569217,36.066641707225756,80,13.5252115312617,18.053893053473264,0.36330228615392113,0.3628736560112032,0.7697648672930494,1336,50.01871958068139,1331,1334,-4055.84,-11.226977697958027,-1.5184724822163984,-2.0269065467266367,-6182.432,-17.11360068028868,-2.314650692624485,-3.089671164417791,590,1411,22.08910520404343,0.692137189459737,-6235.476000000004,58.56,-21.44,24.31785847997005,266.1079460269865,33.892053973013496,973,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Panic Wick Catcher,base,3,2671,2001,670,74.91576188693374,42486,37388,88.00075318928589,55905,56259,27.938530734632682,28.11544227886057,33.72220142268813,78,13.599850243354549,18.15352323838081,0.37690135022058846,0.3743921725749706,0.8057213174829824,1241,46.461999251216774,1229,1234,-3067.2,-8.443725017343333,-1.148333957319356,-1.5328335832083957,-5086.152,-14.00171781573123,-1.9042126544365405,-2.5418050974512743,656,1345,24.56008985398727,0.7310318043535373,-5086.152000000004,57.096000000000004,-21.384,15.906402096593036,266.1079460269865,33.892053973013496,370,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Panic Wick Catcher,base,5,2671,2001,670,74.91576188693374,25238,20951,83.01370948569617,51680,53075,25.827086456771614,26.52423788105947,31.733433171096966,80,13.50578435043055,18.027961019490256,0.3895583272319429,0.3861412711178793,0.838927006927007,1073,40.17222014226881,1053,1068,-2563.9500000000003,-7.107483377894576,-0.9599213777611383,-1.2813343328335833,-4449.540000000001,-12.334496222343274,-1.6658704605016852,-2.2236581709145433,715,1286,26.769000374391613,0.7544907999020068,-4449.540000000001,58.56,-21.44,9.448895544739798,266.1079460269865,33.892053973013496,150,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Stop-After-Good-Basket,base,1,2671,2008,663,75.17783601647324,9096,5722,62.90677220756376,2870,2852,1.4292828685258965,1.4203187250996017,1.394608760763759,2,0.96556345937851,1.2843725099601593,0.4542832065535401,0.4515639534883721,0.9100738916256158,1421,53.20104829651816,1421,1421,-184.02,-7.135268435297128,-0.06889554473979784,-0.09164342629482072,-287.016,-11.128878411179441,-0.10745638337701237,-0.1429362549800797,1077,931,40.321976787719954,0.5598575674208478,-289.90800000000183,1.274,-1.246,3.4054661175589667,288.76394422310756,11.23605577689243,53,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Stop-After-Good-Basket,base,2,2671,2008,663,75.17783601647324,9096,5722,62.90677220756376,5740,5704,2.858565737051793,2.8406374501992033,2.789217521527518,4,1.93112691875702,2.5687450199203186,0.4542832065535401,0.4515639534883721,0.9100738916256158,1421,53.20104829651816,1421,1421,-368.04,-7.135268435297128,-0.13779108947959567,-0.18328685258964145,-574.032,-11.128878411179441,-0.21491276675402474,-0.2858725099601594,1077,931,40.321976787719954,0.5598575674208478,-579.8160000000037,2.548,-2.492,3.4054661175589667,288.76394422310756,11.23605577689243,53,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Stop-After-Good-Basket,base,3,2671,2008,663,75.17783601647324,9096,5722,62.90677220756376,8610,8556,4.28784860557769,4.260956175298805,4.183826282291276,6,2.89669037813553,3.8531175298804783,0.4542832065535401,0.4515639534883721,0.9100738916256158,1421,53.20104829651816,1421,1421,-552.0600000000002,-7.13526843529713,-0.20668663421939354,-0.27493027888446225,-861.0480000000002,-11.128878411179443,-0.3223691501310372,-0.4288087649402392,1077,931,40.321976787719954,0.5598575674208477,-869.7240000000005,3.8219999999999996,-3.738,3.4054661175589667,288.76394422310756,11.23605577689243,53,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Stop-After-Good-Basket,base,5,2671,2008,663,75.17783601647324,9096,5722,62.90677220756376,14350,14260,7.146414342629482,7.101593625498008,6.973043803818794,10,4.827817296892549,6.421862549800797,0.4542832065535401,0.4515639534883721,0.9100738916256158,1421,53.20104829651816,1421,1421,-920.1000000000001,-7.135268435297129,-0.3444777236989892,-0.45821713147410364,-1435.0800000000002,-11.128878411179443,-0.5372819168850619,-0.7146812749003985,1077,931,40.321976787719954,0.5598575674208478,-1449.5399999999995,6.37,-6.2299999999999995,3.4054661175589667,288.76394422310756,11.23605577689243,53,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Two-Stage Window Plan,base,1,2671,2008,663,75.17783601647324,111287,106525,95.72097369863506,53453,53072,26.620019920318725,26.43027888446215,35.93073755147885,63,12.567940846125046,16.71761454183267,0.3707248947142945,0.3705958884405784,0.7710019923066782,1357,50.80494196929989,1356,1356,-13050.97,-38.87807698597842,-4.886173717708723,-6.499487051792828,-14968.419999999998,-44.59004848823183,-5.604050917259452,-7.454392430278884,469,1539,17.558966679146387,0.40638740637519183,-15008.05199999998,42.696,-20.486,41.66491950580307,286.3391434262948,13.66085657370518,6835,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Two-Stage Window Plan,base,2,2671,2008,663,75.17783601647324,58893,54500,92.54070942217241,54776,54224,27.278884462151396,27.00398406374502,34.615499812804195,60,13.396727817296892,17.820049800796813,0.377832662015704,0.3772943884417655,0.7858176792897045,1357,50.80494196929989,1356,1356,-9860.66,-27.557090501376926,-3.691748408835642,-4.910687250996016,-11822.659999999998,-33.04019321090159,-4.426304754773493,-5.887778884462151,489,1519,18.307749906402098,0.4959563649287071,-11861.215999999991,39.516000000000005,-19.624,22.04904530138525,286.3391434262948,13.66085657370518,1479,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Two-Stage Window Plan,base,3,2671,2008,663,75.17783601647324,38837,34621,89.14437263434354,52404,51459,26.09760956175299,25.62699203187251,30.859228753275925,54,13.335387495320104,17.738456175298804,0.38588615844133395,0.38533709461899085,0.8029148700998694,1357,50.80494196929989,1356,1356,-7994.819999999999,-22.44549370248649,-2.993193560464245,-3.9814840637450195,-9864.354,-27.694218955035566,-3.6931314114563834,-4.912526892430279,511,1497,19.131411456383375,0.5217363605210443,-9893.12400000001,36.768,-18.942,14.540247098464995,286.3391434262948,13.66085657370518,625,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Two-Stage Window Plan,base,5,2671,2008,663,75.17783601647324,22169,18242,82.28607514998421,46310,44900,23.062749003984063,22.360557768924302,23.296518157993262,50,12.746480718831899,16.955104581673307,0.4021560036070744,0.4014264482713117,0.8352427126832064,1357,50.80494196929989,1347,1355,-5695.85,-16.72993918495206,-2.1324784724822163,-2.8365786852589645,-7337.63,-21.55220092904128,-2.747147135904156,-3.654198207171315,549,1459,20.554099588169226,0.5186138160471464,-7366.790000000005,30.59,-17.43,8.299887682515912,286.3391434262948,13.66085657370518,221,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
