window_id,strategy_name,variant,share_size,start_time,end_time,final_result,orders_placed,orders_filled,up_shares,down_shares,avg_up,avg_down,avg_sum,cost,gross_pnl,net_pnl,max_imbalance,stopped_reason,first_fill_time,last_fill_time,btc_move_10s_at_entry,btc_move_30s_at_entry,pm_volume_at_entry
btc-updown-5m-1779064200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 00:30:00+00:00,2026-05-18 00:34:07+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779064500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 00:35:00+00:00,2026-05-18 00:39:24+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779064800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 00:40:00+00:00,2026-05-18 00:44:02+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779065100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 00:45:00+00:00,2026-05-18 00:49:29+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779065400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 00:50:05+00:00,2026-05-18 00:54:27+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779065700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 00:55:02+00:00,2026-05-18 00:58:44+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779066000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:00:00+00:00,2026-05-18 01:04:56+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779066300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:05:06+00:00,2026-05-18 01:09:58+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779066600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:10:02+00:00,2026-05-18 01:14:45+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779066900,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:15:05+00:00,2026-05-18 01:19:26+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779067200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:19:59+00:00,2026-05-18 01:24:53+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779067500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:25:04+00:00,2026-05-18 01:29:52+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779067800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:30:00+00:00,2026-05-18 01:34:43+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779068100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:35:00+00:00,2026-05-18 01:39:47+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779068400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:40:02+00:00,2026-05-18 01:44:56+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779068700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:45:00+00:00,2026-05-18 01:49:49+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779069000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:50:05+00:00,2026-05-18 01:54:01+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779069300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 01:55:00+00:00,2026-05-18 01:58:52+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779069600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:00:03+00:00,2026-05-18 02:04:48+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779069900,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:05:00+00:00,2026-05-18 02:09:49+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779070200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:10:00+00:00,2026-05-18 02:14:56+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779070500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:14:59+00:00,2026-05-18 02:18:49+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779070800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:20:00+00:00,2026-05-18 02:24:39+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779071100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:25:03+00:00,2026-05-18 02:29:55+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779071400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:30:02+00:00,2026-05-18 02:34:47+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779071700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:35:03+00:00,2026-05-18 02:38:41+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779072000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:40:00+00:00,2026-05-18 02:44:55+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779072300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:45:04+00:00,2026-05-18 02:49:46+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779072600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:50:00+00:00,2026-05-18 02:53:24+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779072900,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 02:55:02+00:00,2026-05-18 02:59:24+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779073200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:00:00+00:00,2026-05-18 03:04:35+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779073500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:05:01+00:00,2026-05-18 03:09:46+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779073800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:10:01+00:00,2026-05-18 03:14:00+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779074100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:15:05+00:00,2026-05-18 03:19:56+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779074400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:20:03+00:00,2026-05-18 03:24:19+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779074700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:25:03+00:00,2026-05-18 03:29:56+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779075000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:30:05+00:00,2026-05-18 03:33:49+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779075300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:35:00+00:00,2026-05-18 03:39:55+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779075600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:40:01+00:00,2026-05-18 03:44:18+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779075900,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:45:00+00:00,2026-05-18 03:49:50+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779076200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:50:02+00:00,2026-05-18 03:54:23+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779076500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 03:55:02+00:00,2026-05-18 03:59:53+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779076800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:00:00+00:00,2026-05-18 04:04:57+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779077100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:05:00+00:00,2026-05-18 04:09:16+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
